,title,qualities,offer,offer_price,actual_price,image_link,link
10,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Z...","Black Strap, Free Size",71% off,"₹1,299","₹4,499",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/z/p/h/-original-imagy3zzrax6fuze.jpeg?q=70,https://www.flipkart.com/boult-crown-1-95-screen-bt-calling-working-crown-zinc-alloy-frame-900-nits-spo2-smartwatch/p/itm2adec3fa608bc?pid=SMWGPHT4EHHJEZZM&lid=LSTSMWGPHT4EHHJEZZMZFCOPY&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_11&otracker=browse&fm=organic&iid=en_Z04m260csuDABcIJxLALff4ptHVM11HCpfXDlcErY1UMWfPX3_uzueBgyNoF79KZhGXy9Ess9MpS3bSuL4Sgckhz9c-MSIoFe8xMxkfU6dM%3D&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
11,"WTG i8 Pink 1.54"" HD Display Bluetooth Calling, Notific...","Pink Strap, Regular & office Wear",77% off,₹799,"₹3,499",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/l/a/y/39-i8-pink-new-theme-002-android-ios-wtg-yes-original-imagxpbsgpamppsu.jpeg?q=70,https://www.flipkart.com/wtg-i8-pink-1-54-hd-display-bluetooth-calling-notifications-voice-assist-smartwatch/p/itm74389af50ed20?pid=SMWGXPBSKR59UYDG&lid=LSTSMWGXPBSKR59UYDGP6JMO5&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_12&otracker=browse&fm=organic&iid=en_Z04m260csuDABcIJxLALff4ptHVM11HCpfXDlcErY1V1ytMmCvnI7E3Wa-2689ehvnXKF6-jqgdRnovUmRL4gg%3D%3D&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
12,"Fire-Boltt Rise BT Calling,1.85"", Voice Assistance & 12...","Grey Strap, Free Size",90% off,"₹1,199","₹11,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/t/1/n/-original-imagxp8uju4vcafd.jpeg?q=70,https://www.flipkart.com/fire-boltt-rise-bt-calling-1-85-voice-assistance-123-sports-single-connection-smartwatch/p/itme16438ff2af16?pid=SMWGKVYJNGEXZEHJ&lid=LSTSMWGKVYJNGEXZEHJSVIZKS&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_13&otracker=browse&fm=organic&iid=25057041-36fa-45c7-8ddc-21cb19fc9e29.SMWGKVYJNGEXZEHJ.SEARCH&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
13,Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,"Deep Wine Strap, Regular",81% off,"₹1,099","₹5,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/9/z/z/-original-imagxp8tfbntmsgk.jpeg?q=70,https://www.flipkart.com/noise-colorfit-icon-2-1-8-display-bluetooth-calling-ai-voice-assistant-smartwatch/p/itm9d8957f65c72e?pid=SMWGEH7WC8F4VKKZ&lid=LSTSMWGEH7WC8F4VKKZXFMRNR&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_14&otracker=browse&fm=organic&iid=25057041-36fa-45c7-8ddc-21cb19fc9e29.SMWGEH7WC8F4VKKZ.SEARCH&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
14,"Fire-Boltt Hurricane 1.3"" Curved Glass Display with 360...","Gold Pink Strap, Free Size",87% off,"₹1,099","₹8,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/1/f/c/-original-imagxp8uvrmu2cxf.jpeg?q=70,https://www.flipkart.com/fire-boltt-hurricane-1-3-curved-glass-display-360-health-training-100-sports-modes-smartwatch/p/itme9a67a7a3af18?pid=SMWGD53JYHARHHGH&lid=LSTSMWGD53JYHARHHGHFEHVHC&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_15&otracker=browse&fm=organic&iid=25057041-36fa-45c7-8ddc-21cb19fc9e29.SMWGD53JYHARHHGH.SEARCH&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
15,Ambrane Crest Pro 1.52'' display 360*360 High Resolutio...,"Camo Green Strap, Regular",81% off,"₹1,299","₹6,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/x/8/v/-original-imagp8wzha2cfkk3.jpeg?q=70,https://www.flipkart.com/ambrane-crest-pro-1-52-display-360-360-high-resolution-600-nits-bright-bt-calling-smartwatch/p/itmdf6e8aadaedd7?pid=SMWGZ3MYB3H7BAMW&lid=LSTSMWGZ3MYB3H7BAMWUBCVH6&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_16&otracker=browse&fm=organic&iid=25057041-36fa-45c7-8ddc-21cb19fc9e29.SMWGZ3MYB3H7BAMW.SEARCH&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
16,"Boult CrownX 2.0"" HD Screen, BT Calling, Working Crown,...","Silver Strap, Free Size",62% off,"₹1,499","₹3,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/s/u/f/-original-imagxfysua9xzzh3.jpeg?q=70,https://www.flipkart.com/boult-crownx-2-0-hd-screen-bt-calling-working-crown-1000nits-metallic-frame-spo2-smartwatch/p/itm3d0b5178890f1?pid=SMWGVZA4E5FRFVWG&lid=LSTSMWGVZA4E5FRFVWGGB0NQ4&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_17&otracker=browse&fm=organic&iid=en_Z04m260csuDABcIJxLALff4ptHVM11HCpfXDlcErY1V_pyA6y9ASk_DRQbmD2fIssKQh-z0yXD7xBY88bKQrzWVkv0XZFiOX7bbXdlao_f8%3D&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
17,"Ambrane Wise Glaze with 1.78"" Amoled display, BT Callin...","Grey Strap, Regular",78% off,"₹1,299","₹5,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/y/u/u/-original-imagkpn3ryyxuwh2.jpeg?q=70,https://www.flipkart.com/ambrane-wise-glaze-1-78-amoled-display-bt-calling-spo2-heart-rate-monitor-smartwatch/p/itmf56611b0e055e?pid=SMWGK3DY4Q7JF2YS&lid=LSTSMWGK3DY4Q7JF2YSII7HDE&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_18&otracker=browse&fm=organic&iid=en_Z04m260csuDABcIJxLALff4ptHVM11HCpfXDlcErY1WaoP3pCpFEf94SgpOA7lmUgJKlayG68r5dikNXF2fMN_cUmN_6PwCReg_VTM4VLxo%3D&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
18,Fire-Boltt Legacy 1.43 AMOLED Bluetooth Calling with Fi...,"Matte Black Strap, 1.43",86% off,"₹2,799","₹21,000",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/o/s/v/-original-imagxp8tn2tzf9rs.jpeg?q=70,https://www.flipkart.com/fire-boltt-legacy-1-43-amoled-bluetooth-calling-first-ever-wireless-charging-smartwatch/p/itm34378ceefb340?pid=SMWGHSJ2UYF8MKFX&lid=LSTSMWGHSJ2UYF8MKFXR8L46U&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_19&otracker=browse&fm=organic&iid=25057041-36fa-45c7-8ddc-21cb19fc9e29.SMWGHSJ2UYF8MKFX.SEARCH&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
19,Fastrack Revoltt FS1|1.83 Display|BT Calling|Fastcharge...,"Wine Red Strap, Free Size",72% off,"₹1,099","₹3,995",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/i/u/n/-original-imagvpakuvmuf2fa.jpeg?q=70,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itmd959f5faeed31?pid=SMWGPUFU6CHTESQZ&lid=LSTSMWGPUFU6CHTESQZOG477L&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_20&otracker=browse&fm=organic&iid=25057041-36fa-45c7-8ddc-21cb19fc9e29.SMWGPUFU6CHTESQZ.SEARCH&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
20,Fire-Boltt Hulk 1.78 inch Amoled Bluetooth Calling with...,"Black Strap, 1.78",91% off,"₹1,599","₹17,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/y/o/m/-original-imagxp8vgh8xvg2w.jpeg?q=70,https://www.flipkart.com/fire-boltt-hulk-1-78-inch-amoled-bluetooth-calling-120-sports-modes-smartwatch/p/itm17633d2c8c127?pid=SMWGGZR5SKFUPZBA&lid=LSTSMWGGZR5SKFUPZBAXKDHNM&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_21&otracker=browse&fm=organic&iid=en_Z04m260csuDABcIJxLALff4ptHVM11HCpfXDlcErY1XzGdgM8SJ9OhnowSXw-ddJBYBve__jOqFKdzaJBBvfe-I7uWi7bi3WLqk6JF-UYDE%3D&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
21,Fire-Boltt Ninja Talk 1.39'' Round Bluetooth Calling Sm...,"Black Strap, 1.39",89% off,"₹1,299","₹11,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/p/6/8/-original-imagxp8vgdpkhkgx.jpeg?q=70,https://www.flipkart.com/fire-boltt-ninja-talk-1-39-round-bluetooth-calling-smartwatch-metal-body-120-sports-modes/p/itm7eedef2f3e96f?pid=SMWGNYZKTDZZZGWS&lid=LSTSMWGNYZKTDZZZGWSFWF7AJ&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_22&otracker=browse&fm=organic&iid=en_Z04m260csuDABcIJxLALff4ptHVM11HCpfXDlcErY1XX4RJ58XZaRlSJ0Hy6RToZAPffnHNj99CrpDPstK7Mu4E8waCTrWcncKeK_ydPfoM%3D&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
22,"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchface...","Black Strap, Free Size",86% off,"₹1,099","₹7,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/a/k/r/-original-imagysbhge4gnnfz.jpeg?q=70,https://www.flipkart.com/boult-drift-bt-calling-1-69-hd-display-140-watchfaces-475nits-brightness-ip67-smartwatch/p/itm65522c52de29c?pid=SMWGF5GETH3AH6WG&lid=LSTSMWGF5GETH3AH6WGVIN7BI&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_23&otracker=browse&fm=organic&iid=25057041-36fa-45c7-8ddc-21cb19fc9e29.SMWGF5GETH3AH6WG.SEARCH&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
23,Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Sma...,"Black Strap, Free Size",89% off,"₹1,099","₹9,999",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/v/x/k/-original-imagxp8tvnzq4maz.jpeg?q=70,https://www.flipkart.com/fire-boltt-ninja-calling-pro-plus-1-83-inch-display-smartwatch-bluetooth-calling-ai-voice/p/itm37ac5957c9c50?pid=SMWGGZ74CKN8XG6W&lid=LSTSMWGGZ74CKN8XG6WANEXSX&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_24&otracker=browse&fm=organic&iid=25057041-36fa-45c7-8ddc-21cb19fc9e29.SMWGGZ74CKN8XG6W.SEARCH&ppt=None&ppn=None&ssid=5xkwirfa4g0000001710182593059
